NEWER_VERSION_ON_COMMIT_DATE;PREVIOUS_VERSION;Count of HASH
3.0.3;3.0.4-SNAPSHOT;326
7.0.0.Alpha1;7.0.0.Alpha2-SNAPSHOT;326
2.0.0.Alpha12;2.0.0.Alpha11;325
1.2_15-B02;2.1.5-jbossorg-1;323
3.0.2;3.0.3-SNAPSHOT;321
3.0.4;3.0.4-SNAPSHOT;321
4.2.7.RELEASE;4.3.1.RELEASE;321
9.0.0.CR1;10.0.0.Alpha1-SNAPSHOT;321
0.7.1;0.7.2-SNAPSHOT;320
2.0.4;2.0.5-SNAPSHOT;320
2.0-RC2;5.0.0.BUILD-SNAPSHOT;320
2.3.7;2.3.8-SNAPSHOT;320
2.6.8;2.5.4;319
3.0.5;3.0.6-SNAPSHOT;319
3.1.0;3.2.0-SNAPSHOT;319
1.3.1;2.0-mahout;318
1.0.0.beta5;1.0.0.beta4;317
3.0.0;3.0.0-SNAPSHOT;317
1.8.M06;1.8-SNAPSHOT;316
4.0-beta;3.0;316
4.0-beta5;3.0;315
1.3.M03;1.3-SNAPSHOT;314
1.1.6;1.1.4;312
2.1.1;2.2-SNAPSHOT;311
3.0.0-rc1;3.0.1-SNAPSHOT;310
3.0.1;3.0.0-SNAPSHOT;310
2.5.4;1.10.19;309
6.8.8;6.8.8;309
1.0.0.beta4;1.0.0.beta2;308
2.2.0.CR8;2.2.0.CR8;308
2.7;2.3.1;306
3.1.0-M02;3.0.2-SNAPSHOT;306
0.8;0.8;305
1.0.0.Alpha18;1.0.0.Alpha17;305
1.1.4.RELEASE;1.1.4.RELEASE;305
1.4.10.Final;1.4.10.Final;305
4.3.2.RELEASE;4.2.7.RELEASE;305
2.0.0.Beta5;2.0.0.Beta5;304
2.1.2;2.1.3-SNAPSHOT;304
2.4.0-b07;1;304
3.0.5;3.1.0-SNAPSHOT;304
3.1.0-M06;3.1.0-SNAPSHOT;303
1.0.1;1.1.0-SNAPSHOT;302
2.0.3;9.0.4;302
2.2.2;2.2.2;302
3.2.17.RELEASE;4.3.0.BUILD-SNAPSHOT;302
3.0.3;3.1.0-SNAPSHOT;301
3.1.0-M02;3.0.3-SNAPSHOT;301
3.1.0-M02;3.1.0-SNAPSHOT;301
3.1.0-M03;3.1.0-SNAPSHOT;301
0.8.0;0.8.1-SNAPSHOT;300
2.3.3;2.3.4-SNAPSHOT;300
3.0.0.Alpha17;3.0.0.Alpha17;300
3.1.0-M05;3.0.4-SNAPSHOT;300
3.1.0-M05;3.1.0-SNAPSHOT;300
4.3.0.RELEASE;4.2.7.BUILD-SNAPSHOT;300
4.3.2.RELEASE;4.3.3.BUILD-SNAPSHOT;300
0.2;0.2;299
1.0.0.Alpha13;1.0.0.Alpha13;299
2.0.0-RC1;2.0-SNAPSHOT;299
2.0.1;2.0.2-SNAPSHOT;299
2.1.3;2.2-SNAPSHOT;299
3.0.0-M04;3.1.0-SNAPSHOT;299
3.1.1;3.1.1-SNAPSHOT;299
1.6.M01;1.6-SNAPSHOT;297
1.6.M03;1.7-SNAPSHOT;297
3.0.0-rc1;3.0.2-SNAPSHOT;297
3.0.0-rc1;3.1.0-SNAPSHOT;297
1.0.0.Alpha1;9.0.0.Alpha1-SNAPSHOT;296
2.4.3;2.4.3;296
7.0.0.CR1;7.0.0.CR1;296
